"","PixelID","Latitude","Longitude","PixelName","Country","LongitudeMin","LatitudeMin","LongitudeMin1","LatitudeMin1","LongitudeMin2","LatitudeMin2","LongitudeMin3","LatitudeMin3","LongitudeMin0","LatitudeMin0","county","constituency","ward"
"-4.6,39.2","-4.6,39.2",-4.6,39.2,"Pixel355593","Kenya",39.15,-4.65,39.15,-4.55,39.25,-4.55,39.25,-4.65,39.15,-4.65,"Kwale","Lungalunga","Vanga"
"-4.5,39","-4.5,39",-4.5,39,"Pixel356591","Kenya",38.95,-4.55,38.95,-4.45,39.05,-4.45,39.05,-4.55,38.95,-4.55,"Kwale","Lungalunga","Vanga"
"-4.5,39.1","-4.5,39.1",-4.5,39.1,"Pixel356592","Kenya",39.05,-4.55,39.05,-4.45,39.15,-4.45,39.15,-4.55,39.05,-4.55,"Kwale","Lungalunga","Vanga"
"-4.5,39.2","-4.5,39.2",-4.5,39.2,"Pixel356593","Kenya",39.15,-4.55,39.15,-4.45,39.25,-4.45,39.25,-4.55,39.15,-4.55,"Kwale","Lungalunga","Dzombo"
"-4.5,39.3","-4.5,39.3",-4.5,39.3,"Pixel356594","Kenya",39.25,-4.55,39.25,-4.45,39.35,-4.45,39.35,-4.55,39.25,-4.55,"Kwale","Lungalunga","Pongwe/Kikoneni"
"-4.5,39.4","-4.5,39.4",-4.5,39.4,"Pixel356595","Kenya",39.35,-4.55,39.35,-4.45,39.45,-4.45,39.45,-4.55,39.35,-4.55,"Kwale","Msambweni","Ramisi"
"-4.4,38.9","-4.4,38.9",-4.4,38.9,"Pixel357590","Kenya",38.85,-4.45,38.85,-4.35,38.95,-4.35,38.95,-4.45,38.85,-4.45,"Kwale","Lungalunga","Mwereni"
"-4.4,39","-4.4,39",-4.4,39,"Pixel357591","Kenya",38.95,-4.45,38.95,-4.35,39.05,-4.35,39.05,-4.45,38.95,-4.45,"Kwale","Lungalunga","Mwereni"
"-4.4,39.1","-4.4,39.1",-4.4,39.1,"Pixel357592","Kenya",39.05,-4.45,39.05,-4.35,39.15,-4.35,39.15,-4.45,39.05,-4.45,"Kwale","Lungalunga","Mwereni"
"-4.4,39.2","-4.4,39.2",-4.4,39.2,"Pixel357593","Kenya",39.15,-4.45,39.15,-4.35,39.25,-4.35,39.25,-4.45,39.15,-4.45,"Kwale","Lungalunga","Dzombo"
"-4.4,39.3","-4.4,39.3",-4.4,39.3,"Pixel357594","Kenya",39.25,-4.45,39.25,-4.35,39.35,-4.35,39.35,-4.45,39.25,-4.45,"Kwale","Lungalunga","Dzombo"
"-4.4,39.4","-4.4,39.4",-4.4,39.4,"Pixel357595","Kenya",39.35,-4.45,39.35,-4.35,39.45,-4.35,39.45,-4.45,39.35,-4.45,"Kwale","Msambweni","Ramisi"
"-4.4,39.5","-4.4,39.5",-4.4,39.5,"Pixel357596","Kenya",39.45,-4.45,39.45,-4.35,39.55,-4.35,39.55,-4.45,39.45,-4.45,"Kwale","Msambweni","Kinondo"
"-4.3,38.7","-4.3,38.7",-4.3,38.7,"Pixel358588","Kenya",38.65,-4.35,38.65,-4.25,38.75,-4.25,38.75,-4.35,38.65,-4.35,"Kwale","Lungalunga","Mwereni"
"-4.3,38.8","-4.3,38.8",-4.3,38.8,"Pixel358589","Kenya",38.75,-4.35,38.75,-4.25,38.85,-4.25,38.85,-4.35,38.75,-4.35,"Kwale","Lungalunga","Mwereni"
"-4.3,38.9","-4.3,38.9",-4.3,38.9,"Pixel358590","Kenya",38.85,-4.35,38.85,-4.25,38.95,-4.25,38.95,-4.35,38.85,-4.35,"Kwale","Lungalunga","Mwereni"
"-4.3,39","-4.3,39",-4.3,39,"Pixel358591","Kenya",38.95,-4.35,38.95,-4.25,39.05,-4.25,39.05,-4.35,38.95,-4.35,"Kwale","Lungalunga","Mwereni"
"-4.3,39.1","-4.3,39.1",-4.3,39.1,"Pixel358592","Kenya",39.05,-4.35,39.05,-4.25,39.15,-4.25,39.15,-4.35,39.05,-4.35,"Kwale","Lungalunga","Mwereni"
"-4.3,39.2","-4.3,39.2",-4.3,39.2,"Pixel358593","Kenya",39.15,-4.35,39.15,-4.25,39.25,-4.25,39.25,-4.35,39.15,-4.35,"Kwale","Matuga","Mkongani"
"-4.3,39.3","-4.3,39.3",-4.3,39.3,"Pixel358594","Kenya",39.25,-4.35,39.25,-4.25,39.35,-4.25,39.35,-4.35,39.25,-4.35,"Kwale","Matuga","Mkongani"
"-4.3,39.4","-4.3,39.4",-4.3,39.4,"Pixel358595","Kenya",39.35,-4.35,39.35,-4.25,39.45,-4.25,39.45,-4.35,39.35,-4.35,"Kwale","Matuga","Mkongani"
"-4.3,39.5","-4.3,39.5",-4.3,39.5,"Pixel358596","Kenya",39.45,-4.35,39.45,-4.25,39.55,-4.25,39.55,-4.35,39.45,-4.35,"Kwale","Msambweni","Gombato Bongwe"
"-4.2,38.6","-4.2,38.6",-4.2,38.6,"Pixel359587","Kenya",38.55,-4.25,38.55,-4.15,38.65,-4.15,38.65,-4.25,38.55,-4.25,"Kwale","Kinango","Ndavaya"
"-4.2,38.7","-4.2,38.7",-4.2,38.7,"Pixel359588","Kenya",38.65,-4.25,38.65,-4.15,38.75,-4.15,38.75,-4.25,38.65,-4.25,"Kwale","Kinango","Ndavaya"
"-4.2,38.8","-4.2,38.8",-4.2,38.8,"Pixel359589","Kenya",38.75,-4.25,38.75,-4.15,38.85,-4.15,38.85,-4.25,38.75,-4.25,"Kwale","Kinango","Ndavaya"
"-4.2,38.9","-4.2,38.9",-4.2,38.9,"Pixel359590","Kenya",38.85,-4.25,38.85,-4.15,38.95,-4.15,38.95,-4.25,38.85,-4.25,"Kwale","Kinango","Ndavaya"
"-4.2,39","-4.2,39",-4.2,39,"Pixel359591","Kenya",38.95,-4.25,38.95,-4.15,39.05,-4.15,39.05,-4.25,38.95,-4.25,"Kwale","Kinango","Ndavaya"
"-4.2,39.1","-4.2,39.1",-4.2,39.1,"Pixel359592","Kenya",39.05,-4.25,39.05,-4.15,39.15,-4.15,39.15,-4.25,39.05,-4.25,"Kwale","Kinango","Ndavaya"
"-4.2,39.2","-4.2,39.2",-4.2,39.2,"Pixel359593","Kenya",39.15,-4.25,39.15,-4.15,39.25,-4.15,39.25,-4.25,39.15,-4.25,"Kwale","Kinango","Ndavaya"
"-4.2,39.3","-4.2,39.3",-4.2,39.3,"Pixel359594","Kenya",39.25,-4.25,39.25,-4.15,39.35,-4.15,39.35,-4.25,39.25,-4.25,"Kwale","Kinango","Ndavaya"
"-4.2,39.4","-4.2,39.4",-4.2,39.4,"Pixel359595","Kenya",39.35,-4.25,39.35,-4.15,39.45,-4.15,39.45,-4.25,39.35,-4.25,"Kwale","Matuga","Mkongani"
"-4.2,39.5","-4.2,39.5",-4.2,39.5,"Pixel359596","Kenya",39.45,-4.25,39.45,-4.15,39.55,-4.15,39.55,-4.25,39.45,-4.25,"Kwale","Matuga","Tsimba Golini"
"-4.2,39.6","-4.2,39.6",-4.2,39.6,"Pixel359597","Kenya",39.55,-4.25,39.55,-4.15,39.65,-4.15,39.65,-4.25,39.55,-4.25,"Kwale","Matuga","Tiwi"
"-4.1,38.4","-4.1,38.4",-4.1,38.4,"Pixel360585","Kenya",38.35,-4.15,38.35,-4.05,38.45,-4.05,38.45,-4.15,38.35,-4.15,"Taita Taveta","Mwatate","Chawia"
"-4.1,38.5","-4.1,38.5",-4.1,38.5,"Pixel360586","Kenya",38.45,-4.15,38.45,-4.05,38.55,-4.05,38.55,-4.15,38.45,-4.15,"Taita Taveta","Voi","Kasigau"
"-4.1,38.6","-4.1,38.6",-4.1,38.6,"Pixel360587","Kenya",38.55,-4.15,38.55,-4.05,38.65,-4.05,38.65,-4.15,38.55,-4.15,"Kwale","Kinango","Puma"
"-4.1,38.7","-4.1,38.7",-4.1,38.7,"Pixel360588","Kenya",38.65,-4.15,38.65,-4.05,38.75,-4.05,38.75,-4.15,38.65,-4.15,"Kwale","Kinango","Puma"
"-4.1,38.8","-4.1,38.8",-4.1,38.8,"Pixel360589","Kenya",38.75,-4.15,38.75,-4.05,38.85,-4.05,38.85,-4.15,38.75,-4.15,"Kwale","Kinango","Puma"
"-4.1,38.9","-4.1,38.9",-4.1,38.9,"Pixel360590","Kenya",38.85,-4.15,38.85,-4.05,38.95,-4.05,38.95,-4.15,38.85,-4.15,"Kwale","Kinango","Puma"
"-4.1,39","-4.1,39",-4.1,39,"Pixel360591","Kenya",38.95,-4.15,38.95,-4.05,39.05,-4.05,39.05,-4.15,38.95,-4.15,"Kwale","Kinango","Puma"
"-4.1,39.1","-4.1,39.1",-4.1,39.1,"Pixel360592","Kenya",39.05,-4.15,39.05,-4.05,39.15,-4.05,39.15,-4.15,39.05,-4.15,"Kwale","Kinango","Puma"
"-4.1,39.2","-4.1,39.2",-4.1,39.2,"Pixel360593","Kenya",39.15,-4.15,39.15,-4.05,39.25,-4.05,39.25,-4.15,39.15,-4.15,"Kwale","Kinango","Puma"
"-4.1,39.3","-4.1,39.3",-4.1,39.3,"Pixel360594","Kenya",39.25,-4.15,39.25,-4.05,39.35,-4.05,39.35,-4.15,39.25,-4.15,"Kwale","Kinango","Kinango"
"-4.1,39.4","-4.1,39.4",-4.1,39.4,"Pixel360595","Kenya",39.35,-4.15,39.35,-4.05,39.45,-4.05,39.45,-4.15,39.35,-4.15,"Kwale","Kinango","Kinango"
"-4.1,39.5","-4.1,39.5",-4.1,39.5,"Pixel360596","Kenya",39.45,-4.15,39.45,-4.05,39.55,-4.05,39.55,-4.15,39.45,-4.15,"Kwale","Kinango","Kinango"
"-4.1,39.6","-4.1,39.6",-4.1,39.6,"Pixel360597","Kenya",39.55,-4.15,39.55,-4.05,39.65,-4.05,39.65,-4.15,39.55,-4.15,"Kwale","Matuga","Waa"
"-4,38.3","-4,38.3",-4,38.3,"Pixel361584","Kenya",38.25,-4.05,38.25,-3.95,38.35,-3.95,38.35,-4.05,38.25,-4.05,"Taita Taveta","Mwatate","Chawia"
"-4,38.4","-4,38.4",-4,38.4,"Pixel361585","Kenya",38.35,-4.05,38.35,-3.95,38.45,-3.95,38.45,-4.05,38.35,-4.05,"Taita Taveta","Mwatate","Chawia"
"-4,38.5","-4,38.5",-4,38.5,"Pixel361586","Kenya",38.45,-4.05,38.45,-3.95,38.55,-3.95,38.55,-4.05,38.45,-4.05,"Taita Taveta","Mwatate","Chawia"
